"Sr. No.","Date","Day","Description"
"1","January 26, 2020","Sunday","Republic Day"
"2","August 01, 2020","Saturday","Bakri Id"
"3","August 15, 2020","Saturday","Independence Day"
"4","August 22, 2020","Saturday","Ganesh Chaturthi"
"5","August 30, 2020","Sunday","Moharram"
"6","October 25, 2020","Sunday","Dasera"
"7","November 14, 2020","Saturday","Diwali-Laxmi Pujan*"
